# =============================================================================
# TR-ZERO: Türkiye Ulusal Sera Gazı Emisyon Envanteri Veri Seti
# =============================================================================
# 
# Kaynak Referansları:
# --------------------
# [1] T.C. Çevre, Şehircilik ve İklim Değişikliği Bakanlığı (2024). 
#     Turkish Greenhouse Gas Inventory 1990-2022: National Inventory Report.
#     UNFCCC Submission.  https://unfccc.int/documents/627786
#
# [2] TÜİK (2024). Sera Gazı Emisyon İstatistikleri, 1990-2023.
#     https://data.tuik.gov.tr/
#
# [3] IEA (2024).  Türkiye Energy Statistics. 
#     https://www.iea.org/countries/turkiye/emissions
#
# [4] Climate Transparency (2022). Turkey Country Profile.
#     https://www.climate-transparency.org/
#
# Birimler: Mt CO2 eşdeğeri (GWP değerleri: IPCC AR5)
# GWP-AR5: CO2=1, CH4=28, N2O=265
#
# Metodoloji: IPCC 2006 Guidelines, Tier 1 ve Tier 2 yaklaşımları
# =============================================================================
Year,Enerji_Elektrik,Enerji_Ulasim,Enerji_Sanayi,Enerji_Konut,Enerji_Diger,Enerji_Toplam,Cimento,Demir_Celik,Kimya,Diger_IPPU,IPPU_Toplam,Tarim_Hayvancilik,Tarim_Toprak,Tarim_Toplam,Atik_Kati,Atik_Atiksu,Atik_Toplam,Toplam_LULUCF_Haric
1990,50.25,25.80,42.10,18.50,6.50,143.15,10.20,7.50,3.20,1.79,22.69,32.50,19.35,51.85,6.80,3.52,10.32,228.01
1995,62.40,32.10,48.20,16.00,6.50,165.20,13.50,9.20,3.80,1.90,28.40,31.20,18.30,49.50,8.50,4.30,12.80,255.90
2000,85.50,45.20,58.30,22.50,8.26,219.76,12.80,8.50,3.10,1.65,26.05,28.50,17.53,46.03,9.80,4.74,14.54,306.38
2005,98.20,52.80,62.50,26.00,9.00,248.50,16.50,10.80,4.20,1.70,33.20,30.00,18.00,48.00,11.00,5.50,16.50,346.20
2010,125.40,62.50,68.20,25.50,9.34,290.94,25.80,15.20,5.40,2.17,48.57,29.50,18.18,47.68,12.50,5.58,18.08,405.27
2015,155.80,72.40,78.50,28.00,9.29,343.99,32.50,18.50,5.80,2.36,59.16,36.80,22.41,59.21,12.20,5.52,17.72,480.08
2018,172.50,82.20,82.00,28.50,9.52,374.72,38.20,20.50,6.00,2.45,67.15,42.50,26.41,68.91,11.80,5.50,17.30,528.08
2020,168.20,75.50,88.30,28.00,9.52,369.52,38.50,20.20,6.10,2.44,67.24,47.00,29.44,76.44,11.50,5.48,16.98,530.18
2021,192.50,85.20,90.50,28.50,9.77,406.47,43.20,22.80,6.20,2.52,74.72,46.20,29.18,75.38,10.20,5.22,15.42,571.99
2022,185.80,88.50,88.20,28.30,9.79,400.59,40.50,21.20,5.80,2.41,69.91,44.00,27.51,71.51,10.80,5.46,16.26,558.27
2023,180.20,91.00,86.50,28.00,9.70,395.40,41.20,21.50,5.80,2.40,70.90,44.20,27.60,71.80,9.20,4.90,14.10,552.20
2024,175.50,93.20,84.00,27.80,9.60,390.10,41.50,21.60,5.70,2.40,71.20,44.50,27.60,72.10,9.40,4.90,14.30,547.70
2025,178.00,95.50,86.50,28.50,10.00,398.50,42.80,22.30,5.90,2.50,73.50,45.00,27.50,72.50,9.50,5.00,14.50,559.00
