Yil,Karbon_Fiyati,Toplam_Emisyon,Aktif_Tesis,Donusum_Tesis,Temiz_Tesis,Kapali_Tesis,Yenilenebilir_Kapasite_MW,Cap,Senaryo,CBAM_Toplam_Maliyet,MRV_Toplam_Ceza,Ihracatci_Tesis,Hanehalki_Sayisi,Hanehalki_Emisyon
2025,0,152.16913674430407,110,0,0,0,0,9999,BAU,0.0,0.0,10,50,73.74762254986905
2026,0,152.16913674430407,110,0,0,0,350,9999,BAU,0.0,5.308836417149477,10,50,73.74762254986905
2027,20,152.16913674430407,109,1,0,0,630,9999,BAU,0.0,18.52601019372041,10,50,73.74762254986905
2028,20,146.84622855368886,30,80,0,0,770,9999,BAU,0.0,18.52601019372041,10,50,68.42471435925385
2029,20,146.77302559269572,30,79,1,0,810,9999,BAU,0.0,25.83028184478829,10,50,68.42471435925385
2030,20,140.72780324281072,30,0,80,0,840,9999,BAU,0.0,25.83028184478829,10,50,68.42471435925385
2031,20,140.72780324281072,30,0,80,0,860,9999,BAU,0.0,25.83028184478829,10,50,68.42471435925385
2032,20,140.72780324281072,30,0,80,0,860,9999,BAU,0.0,49.459096239345534,10,50,68.42471435925385
2033,20,140.72780324281072,30,0,80,0,860,9999,BAU,0.0,49.459096239345534,10,50,68.42471435925385
2034,20,140.72780324281072,30,0,80,0,860,9999,BAU,0.0,66.23593212360723,10,50,68.42471435925385
2035,20,140.72780324281072,30,0,80,0,860,9999,BAU,0.0,71.60376610527892,10,50,68.42471435925385
