Yil,Karbon_Fiyati,Toplam_Emisyon,Aktif_Tesis,Donusum_Tesis,Temiz_Tesis,Kapali_Tesis,Yenilenebilir_Kapasite_MW,Cap,Senaryo,CBAM_Toplam_Maliyet,MRV_Toplam_Ceza,Ihracatci_Tesis,Hanehalki_Sayisi,Hanehalki_Emisyon
2025,0.0,152.83103214404247,110,0,0,0,0,60.0,ETS_Tesvik,0.0,0.0,10,50,74.7536268702522
2026,0.0,152.83103214404247,91,19,0,0,370,60.0,ETS_Tesvik,435.1544513775546,0.0,10,50,74.7536268702522
2027,36.74817475819645,152.39450909226446,91,19,0,0,560,57.599999999999994,ETS_Tesvik,435.1544513775546,4.97671603855707,10,50,74.3171038184742
2028,39.874321569223575,142.4796827285183,30,80,0,0,680,55.29599999999999,ETS_Tesvik,257.47520886611596,7.783078870679395,10,50,64.40227745472804
2029,43.26640795271657,141.3444926035601,30,80,0,0,700,53.08415999999999,ETS_Tesvik,235.90521077323672,21.482308922527373,10,50,63.267087329769836
2030,46.85348211938348,139.9832286275869,30,79,1,0,700,50.96079359999999,ETS_Tesvik,215.78022559486462,27.02793461238232,10,50,61.98367431344257
2031,47.912968970487526,129.39071413752933,30,19,61,0,700,48.92236185599999,ETS_Tesvik,203.49287664175128,42.569150689740525,10,50,61.53210410206764
2032,41.17636784325427,126.54418768753801,30,0,80,0,700,46.965467381759986,ETS_Tesvik,231.4389677160358,45.56610384284199,10,50,62.759427105498354
2033,40.02801849699833,127.1727456243751,30,0,80,0,700,45.08684868648958,ETS_Tesvik,166.13992817207836,45.56610384284199,10,50,63.38798504233542
2034,43.43317979274993,126.67009632311984,30,0,80,0,700,43.283374739029995,ETS_Tesvik,159.67449313069534,49.41594553838399,10,50,62.88533574108017
2035,47.12801626817483,125.9579462586578,30,0,80,0,700,41.5520397494688,ETS_Tesvik,153.9321739483958,67.97186508929138,10,50,62.17318567661813
