Yil,Karbon_Fiyati,Toplam_Emisyon,Aktif_Tesis,Donusum_Tesis,Temiz_Tesis,Kapali_Tesis,Yenilenebilir_Kapasite_MW,Cap,Senaryo,CBAM_Toplam_Maliyet,MRV_Toplam_Ceza,Ihracatci_Tesis,Hanehalki_Sayisi,Hanehalki_Emisyon
2025,0.0,157.02485357667655,110,0,0,0,0,60.0,Siki_ETS,0.0,0.0,10,50,77.2827894761138
2026,0.0,157.02485357667655,95,15,0,0,390,60.0,Siki_ETS,136.7362511867245,0.0,10,50,77.2827894761138
2027,38.33186720569455,152.57771108439584,73,37,0,0,620,57.599999999999994,Siki_ETS,136.7362511867245,2.3850737915398534,10,50,72.83564698383312
2028,41.59273785340122,145.61517277111997,30,80,0,0,720,55.29599999999999,Siki_ETS,76.30219486225548,18.859564245079724,10,50,65.87310867055723
2029,45.13100895551348,144.5040390504084,30,80,0,0,780,53.08415999999999,Siki_ETS,70.55273213582197,18.859564245079724,10,50,64.76197494984567
2030,47.58672853698336,140.02086889088315,30,58,22,0,820,50.96079359999999,Siki_ETS,66.0924891244955,40.67740952768679,10,50,64.08473232302937
2031,41.082381837274696,133.1927190736829,30,15,65,0,820,48.92236185599999,Siki_ETS,64.43813044908643,46.322166684988424,10,50,64.41195176034728
2032,38.726776456136975,131.07669846840588,30,0,80,0,820,46.965467381759986,Siki_ETS,74.32013027282983,46.322166684988424,10,50,65.72312714419525
2033,42.02124181438475,131.21140378839766,30,0,80,0,820,45.08684868648958,Siki_ETS,52.57919062743772,48.294432009178145,10,50,65.85783246418701
2034,45.595965510400134,130.09360176163443,30,0,80,0,820,43.283374739029995,Siki_ETS,48.90961931674291,50.58266035773269,10,50,64.74003043742377
2035,49.47478896527791,128.83659161583677,30,0,80,0,820,41.5520397494688,Siki_ETS,44.92787961329804,50.58266035773269,10,50,63.48302029162612
