Yil,Karbon_Fiyati,Toplam_Emisyon,Aktif_Tesis,Donusum_Tesis,Temiz_Tesis,Kapali_Tesis,Yenilenebilir_Kapasite_MW,Cap,Senaryo,CBAM_Toplam_Maliyet,MRV_Toplam_Ceza,Ihracatci_Tesis,Hanehalki_Sayisi,Hanehalki_Emisyon
2025,0.0,156.08539206074292,110,0,0,0,0,75.0,Yumusak_ETS,0.0,0.0,10,50,80.87210448493941
2026,0.0,156.08539206074292,94,16,0,0,370,75.0,Yumusak_ETS,185.49538605122828,7.08122372473738,10,50,80.87210448493941
2027,20.943268556473754,150.51786978715876,38,72,0,0,630,73.5,Yumusak_ETS,120.74739128360079,7.08122372473738,10,50,75.30458221135527
2028,21.806818571921866,150.09913499540582,30,80,0,0,710,72.03,Yumusak_ETS,119.49138226641568,7.08122372473738,10,50,74.8858474196023
2029,21.58726114090365,144.19163578644532,30,8,72,0,750,70.5894,Yumusak_ETS,118.56043813120881,12.772127960139393,10,50,74.8218630371902
2030,20.0,143.65387456549524,30,0,80,0,770,69.177612,Yumusak_ETS,100.94296583933551,17.512293196298053,10,50,74.86898393836599
2031,20.588884346725173,143.98619734490146,30,0,80,0,770,67.79405976,Yumusak_ETS,103.97993048862402,17.512293196298053,10,50,75.2013067177722
2032,21.4378221019629,143.65595177449646,30,0,80,0,770,66.4381785648,Yumusak_ETS,101.33566941244423,17.512293196298053,10,50,74.87106114736721
2033,22.321763954563632,143.550345030808,30,0,80,0,770,65.10941499350399,Yumusak_ETS,100.2428513011342,19.493473136760983,10,50,74.76545440367875
2034,23.242153222161214,143.18874083672964,30,0,80,0,770,63.80722669363391,Yumusak_ETS,96.59415552828395,19.493473136760983,10,50,74.40385020960039
2035,24.20049273444525,142.9999117991624,30,0,80,0,770,62.531082159761226,Yumusak_ETS,95.26057779801415,19.493473136760983,10,50,74.21502117203313
